step,gs0,gs1,gs2,
0,961,961,960,
1,961,961,960,
2,961,961,960,
3,961,961,960,
4,961,961,960,
5,961,961,960,
6,961,960,960,
7,961,960,960,
8,956,952,952,
9,956,952,952,
10,953,949,948,
11,953,949,948,
12,952,948,948,
13,952,948,948,
14,956,953,950,
15,956,953,950,
16,961,959,959,
17,961,959,959,
18,961,960,959,
19,961,960,959,
20,961,960,959,
21,961,960,959,
22,961,959,946,
23,961,960,366,
24,961,960,366,
25,960,959,317,
26,960,959,317,
27,961,960,313,
28,961,960,313,
29,961,959,317,
30,961,959,317,
31,961,667,320,
32,961,667,320,
33,961,314,317,
34,961,314,317,
35,961,281,316,
36,961,281,316,
37,961,277,316,
38,961,277,316,
39,959,282,317,
40,959,282,317,
41,476,281,315,
42,476,281,315,
43,259,282,320,
44,259,282,320,
45,263,289,317,
46,263,289,317,
47,265,289,315,
48,265,289,315,
49,260,281,318,
50,260,281,318,
51,261,281,307,
52,261,281,307,
53,256,271,305,
54,256,271,305,
55,263,289,311,
56,263,289,311,
57,256,289,332,
58,256,289,332,
59,267,280,910,
60,267,280,910,
61,261,288,956,
62,261,288,956,
63,275,284,959,
64,275,284,959,
65,270,286,959,
66,270,286,959,
67,263,378,959,
68,263,933,960,
69,263,933,960,
70,270,959,960,
71,270,959,960,
72,263,960,959,
73,263,960,959,
74,263,960,960,
75,263,960,960,
76,366,960,960,
77,366,960,960,
78,958,960,960,
79,958,960,960,
80,961,960,960,
81,961,960,960,
82,961,960,960,
83,961,960,960,
84,960,960,960,
85,960,960,960,
86,961,960,960,
87,961,960,960,
88,961,961,960,
89,961,961,960,
90,961,961,961,
91,961,961,961,
92,961,960,961,
93,961,960,961,
94,961,961,961,
95,961,961,961,
96,961,961,961,
97,961,961,961,
98,961,961,961,
99,961,961,961,
100,961,961,961,
101,961,961,961,
102,961,960,960,
103,961,960,960,
104,961,961,960,
105,961,961,960,
106,961,961,960,
107,960,960,959,
108,960,960,959,
109,961,960,960,
110,961,960,960,
111,961,960,960,
112,961,960,960,
113,961,960,960,
114,961,960,960,
115,961,960,959,
116,961,960,959,
117,961,961,960,
118,961,961,960,
119,961,961,960,
120,961,961,960,
121,960,960,958,
122,960,960,958,
123,961,960,959,
124,961,960,959,
125,961,960,959,
126,961,960,959,
127,961,960,960,
128,961,960,960,
129,961,961,960,
130,961,961,960,
131,961,960,960,
132,961,960,960,
133,960,960,960,
134,960,960,960,
135,961,961,960,
136,961,961,960,
137,961,961,960,
138,961,961,960,
139,961,960,960,
140,961,960,960,
141,961,961,960,
142,961,961,960,
143,961,961,960,
144,961,960,959,
145,961,960,959,
146,961,960,959,
147,961,960,959,
148,961,960,959,
149,961,960,959,
150,960,959,958,
151,960,959,958,
152,960,959,956,
153,960,959,956,
154,961,959,953,
155,961,959,953,
156,960,959,953,
157,960,959,953,
158,961,959,954,
159,961,959,954,
160,960,959,954,
161,960,959,954,
162,960,955,953,
163,960,955,953,
164,960,954,954,
165,960,954,954,
166,960,954,954,
167,960,954,954,
168,961,954,954,
169,961,954,954,
170,961,954,954,
171,961,954,954,
172,956,954,955,
173,956,954,955,
174,956,954,954,
175,956,954,954,
176,956,955,954,
177,955,954,954,
178,955,954,954,
179,956,955,954,
180,956,955,954,
181,955,954,954,
182,955,954,954,
183,955,954,955,
184,955,954,955,
185,955,954,954,
186,955,954,954,
187,955,955,954,
188,955,955,954,
189,955,954,955,
190,955,954,955,
191,955,954,958,
192,955,954,958,
193,955,954,960,
194,955,954,960,
195,955,955,960,
196,955,955,960,
197,955,954,960,
198,955,954,960,
199,955,955,960,
200,955,955,960,
201,955,959,960,
202,955,959,960,
203,955,960,960,
204,955,960,960,
205,955,960,960,
206,955,960,960,
207,955,960,960,
208,955,960,960,
209,957,960,960,
210,957,960,960,
211,960,960,960,
212,960,960,960,
213,961,960,960,
214,961,960,960,
215,961,961,961,
216,961,961,961,
217,961,960,960,
218,961,960,960,
219,962,960,960,
220,962,960,960,
221,960,960,961,
222,960,960,961,
223,961,960,960,
224,961,960,960,
225,961,960,961,
226,961,960,961,
227,961,960,961,
228,961,960,961,
229,960,960,961,
230,960,960,961,
231,961,960,961,
232,961,960,961,
233,961,960,961,
234,961,960,961,
235,961,960,961,
236,961,961,961,
237,961,961,961,
238,961,960,961,
239,961,960,961,
240,959,957,958,
241,959,957,958,
242,957,955,956,
243,957,955,956,
244,958,956,956,
245,958,956,956,
246,960,960,960,
247,960,960,960,
248,961,961,960,
249,961,961,960,
250,960,960,960,
251,960,960,960,
252,962,961,960,
253,962,961,960,
254,961,961,960,
255,961,961,960,
256,960,960,960,
257,960,960,960,
258,961,960,960,
259,961,960,960,
260,960,960,961,
261,960,960,961,
262,961,960,960,
263,961,960,960,
264,961,961,961,
265,961,961,961,
266,962,961,961,
267,962,961,961,
268,962,960,961,
269,962,960,961,
270,961,961,961,
271,961,961,961,
272,961,961,961,
273,961,961,961,
274,960,959,958,
275,960,959,958,
276,960,960,959,
277,960,959,959,
278,960,959,959,
279,960,960,959,
280,960,960,959,
281,960,960,959,
282,960,960,959,
283,960,960,960,
284,960,960,960,
285,960,959,959,
286,960,959,959,
287,960,959,960,
288,960,959,960,
289,961,960,960,
290,961,960,960,
291,961,960,960,
292,961,960,960,
293,960,960,960,
294,960,960,960,
295,960,960,960,
296,960,960,960,
297,960,960,960,
298,960,960,960,
299,961,960,960,
300,961,960,960,
301,961,960,960,
302,961,960,960,
303,961,959,960,
304,961,959,960,
305,961,960,960,
306,961,960,960,
307,961,960,959,
308,961,960,959,
309,961,960,960,
310,961,960,960,
311,961,960,960,
312,961,960,960,
313,961,960,960,
314,961,960,960,
315,961,960,960,
316,961,960,960,
317,960,960,960,
318,961,960,960,
319,961,960,960,
320,961,960,959,
321,961,960,959,
322,961,960,960,
323,961,960,960,
324,961,960,960,
325,961,960,960,
326,961,960,958,
327,961,960,958,
328,961,960,960,
329,961,960,960,
330,961,960,958,
331,961,960,958,
332,961,960,960,
333,961,960,960,
334,961,960,959,
335,961,960,959,
336,960,959,960,
337,960,959,960,
338,962,960,960,
339,962,960,960,
340,961,960,960,
341,961,960,960,
342,962,960,960,
343,962,960,960,
344,960,960,959,
345,960,960,959,
346,960,960,960,
347,960,960,960,
348,961,960,960,
349,961,960,960,
350,960,961,960,
351,960,961,960,
352,961,960,960,
353,961,960,960,
354,961,961,961,
355,961,961,961,
356,961,961,961,
357,961,961,961,
