step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.01,9999999999,0,-1.381742857142857,-8.8431542865986e-12,-0.0,-1.3317428571517,3.3317428571517,0.6682571428483
1,0.01,9999999999,0,-1.381742857142857,-1.76863085731972e-11,0.0,-1.3317428571605432,3.331742857160543,0.6682571428394568
2,0.01,9999999999,0,-1.3931714285714287,-2.6602605716945973e-11,-0.0,-1.3431714285980312,3.343171428598031,0.6568285714019688
3,0.01,9999999999,0,-1.3931714285714287,-3.551890286069474e-11,0.0,-1.3431714286069476,3.3431714286069476,0.6568285713930524
4,0.01,9999999999,0,-1.3831714285714287,-4.4371200004437125e-11,0.0,-1.3331714286157998,3.3331714286158,0.6668285713842002
5,0.01,9999999999,0,-1.3803142857142856,-5.320521143389195e-11,0.0,-1.3303142857674908,3.330314285767491,0.6696857142325092
6,0.01,9999999999,0,-1.4474571428571428,-6.246893714910404e-11,-0.0,-1.3974571429196117,3.3974571429196114,0.6025428570803883
7,0.01,9999999999,0,-1.407457142857143,-7.147666286429053e-11,0.0,-1.3574571429286195,3.3574571429286193,0.6425428570713805
8,0.01,9999999999,0,-1.397457142857143,-8.042038857947062e-11,0.0,-1.3474571429375632,3.3474571429375635,0.6525428570624368
9,0.01,9999999999,0,-1.3645999999999998,-8.915382858034397e-11,0.0,-1.3146000000891536,3.3146000000891536,0.6853999999108464
10,0.01,9999999999,0,-1.3760285714285716,-9.796041143836748e-11,-0.0,-1.3260285715265319,3.326028571526532,0.6739714284734681
11,0.01,9999999999,0,-1.340314285714286,-1.065384228677967e-10,0.0,-1.2903142858208243,3.2903142858208243,0.7096857141791757
12,0.01,9999999999,0,-1.3074571428571429,-1.1490614858291919e-10,0.0,-1.257457142972049,3.257457142972049,0.7425428570279511
13,0.01,9999999999,0,-1.3074571428571429,-1.2327387429804168e-10,0.0,-1.2574571429804167,3.2574571429804164,0.7425428570195833
14,0.01,9999999999,0,-1.3760285714285716,-1.320804571560652e-10,-0.0,-1.326028571560652,3.326028571560652,0.6739714284393481
15,0.01,9999999999,0,-1.2574571428571428,-1.401281828711557e-10,0.0,-1.207457142997271,3.2074571429972707,0.7925428570027291
16,0.01,9999999999,0,-1.2046000000000001,-1.4783762287192663e-10,0.0,-1.1546000001478376,3.1546000001478376,0.8453999998521624
17,0.01,9999999999,0,-1.1788857142857143,-1.5538249144410969e-10,0.0,-1.1288857144410969,3.128885714441097,0.8711142855589031
18,0.01,9999999999,0,-1.1688857142857143,-1.6286336001628635e-10,0.0,-1.1188857144485775,3.1188857144485773,0.8811142855514225
19,0.01,9999999999,0,-1.147457142857143,-1.7020708573130644e-10,0.0,-1.09745714302735,3.0974571430273503,0.9025428569726499
20,0.01,9999999999,0,-1.0803142857142858,-1.7712109716056926e-10,0.0,-1.030314285891407,3.030314285891407,0.969685714108593
21,0.01,9999999999,0,-1.0503142857142858,-1.8384310858981288e-10,0.0,-1.0003142858981289,3.0003142858981287,0.9996857141018711
22,0.01,9999999999,0,-1.0188857142857144,-1.9036397716189353e-10,0.0,-0.9688857144760783,2.9688857144760785,1.0311142855239217
23,0.01,9999999999,0,-1.0017428571428573,-1.9677513144824892e-10,0.0,-0.9517428573396323,2.9517428573396325,1.0482571426603677
24,0.01,9999999999,0,-0.9617428571428572,-2.029302857345787e-10,0.0,-0.9117428573457875,2.9117428573457875,1.0882571426542125
25,0.01,9999999999,0,-0.9088857142857141,-2.0874715430658896e-10,0.0,-0.8588857144944612,2.8588857144944613,1.1411142855055387
26,0.01,9999999999,0,-0.9003142857142856,-2.145091657357366e-10,0.0,-0.8503142859287948,2.850314285928795,1.1496857140712051
27,0.01,9999999999,0,-0.8431714285714285,-2.1990546287913337e-10,0.0,-0.7931714287913338,2.793171428791334,1.2068285712086662
28,0.01,9999999999,0,-0.8103142857142857,-2.250914743082234e-10,0.0,-0.7603142859393771,2.760314285939377,1.2396857140606228
29,0.01,9999999999,0,-0.8231714285714284,-2.3035977145160737e-10,-0.0,-0.7731714288017881,2.7731714288017884,1.2268285711982119
30,0.01,9999999999,0,-0.7803142857142856,-2.353537828806782e-10,0.0,-0.7303142859496393,2.7303142859496394,1.2696857140503606
31,0.01,9999999999,0,-0.6974571428571429,-2.398175085954103e-10,0.0,-0.6474571430969603,2.6474571430969602,1.3525428569030398
32,0.01,9999999999,0,-0.6588857142857143,-2.4403437716726054e-10,0.0,-0.6088857145297486,2.6088857145297486,1.3911142854702514
33,0.01,9999999999,0,-0.6445999999999998,-2.4815981716767307e-10,0.0,-0.5946000002481596,2.5946000002481595,1.4053999997518405
