step,K,T_I,T_D,P,I,D,ds,left speed,right speed
0,0.005,9999999999,0.25,0.19174285714285716,1.2271542858370012e-12,0.7489955357142859,0.9907383928583703,1.0092616071416298,2.99073839285837
1,0.005,9999999999,0.25,0.16674285714285716,2.294308571658003e-12,-0.09765625,0.11908660714515147,1.8809133928548485,2.1190866071451513
2,0.005,9999999999,0.25,0.17102857142857147,3.3888914289103184e-12,0.016741071428571508,0.23776964286053187,1.7622303571394682,2.237769642860532
3,0.005,9999999999,0.25,0.1803142857142858,4.542902857597148e-12,0.03627232142857151,0.2665866071474002,1.7334133928525999,2.2665866071474
4,0.005,9999999999,0.25,0.18102857142857148,5.701485714855864e-12,0.002790178571428492,0.23381875000570146,1.7661812499942986,2.2338187500057014
5,0.005,9999999999,0.25,0.15460000000000007,6.690925714954808e-12,-0.10323660714285698,0.10136339286383401,1.898636607136166,2.101363392863834
6,0.005,9999999999,0.25,0.18531428571428576,7.876937143644838e-12,0.11997767857142849,0.35529196429359117,1.6447080357064088,2.355291964293591
7,0.005,9999999999,0.25,0.1746000000000001,8.994377143756582e-12,-0.041852678571428485,0.182747321437566,1.817252678562434,2.182747321437566
8,0.005,9999999999,0.25,0.13031428571428577,9.828388572411414e-12,-0.1729910714285715,0.007323214295542654,1.9926767857044574,2.0073232142955426
9,0.005,9999999999,0.25,0.14674285714285717,1.0767542858219615e-11,0.06417410714285698,0.2609169642964817,1.7390830357035183,2.2609169642964817
10,0.005,9999999999,0.25,0.14317142857142856,1.1683840001168388e-11,-0.013950892857143016,0.1792205357259694,1.8207794642740307,2.1792205357259693
11,0.005,9999999999,0.25,0.13174285714285716,1.252699428696699e-11,-0.044642857142856984,0.1371000000125272,1.862899999987473,2.137100000012527
12,0.005,9999999999,0.25,0.10388571428571439,1.3191862858462049e-11,-0.10881696428571397,0.045068750013192285,1.9549312499868077,2.045068750013192
13,0.005,9999999999,0.25,0.13674285714285717,1.406701714426385e-11,0.12834821428571397,0.31509107144263815,1.6849089285573617,2.3150910714426383
14,0.005,9999999999,0.25,0.11317142857142855,1.4791314287193423e-11,-0.09207589285714303,0.07109553572907684,1.9289044642709232,2.071095535729077
15,0.005,9999999999,0.25,0.13531428571428578,1.5657325715851454e-11,0.08649553571428603,0.27180982144422916,1.7281901785557707,2.2718098214442293
16,0.005,9999999999,0.25,0.10388571428571439,1.6322194287346513e-11,-0.12276785714285698,0.0311178571591796,1.9688821428408203,2.0311178571591797
17,0.005,9999999999,0.25,0.10888571428571439,1.701906285884477e-11,0.01953125,0.17841696430273346,1.8215830356972664,2.1784169643027336
18,0.005,9999999999,0.25,0.06102857142857147,1.7409645716026686e-11,-0.18694196428571452,-0.0759133928397334,2.0759133928397335,1.9240866071602667
19,0.005,9999999999,0.25,0.07602857142857147,1.78962285732182e-11,0.05859375,0.18462232144646767,1.8153776785535323,2.1846223214464677
20,0.005,9999999999,0.25,0.07602857142857147,1.8382811430409715e-11,0.0,0.12602857144695429,1.8739714285530458,2.1260285714469545
21,0.005,9999999999,0.25,0.07888571428571439,1.8887680001888774e-11,0.011160714285714524,0.1400464285903166,1.8599535714096833,2.1400464285903165
22,0.005,9999999999,0.25,0.02960000000000008,1.9077120001907716e-11,-0.1925223214285715,-0.1129223214094943,2.1129223214094943,1.8870776785905057
23,0.005,9999999999,0.25,0.06031428571428577,1.9463131430517744e-11,0.11997767857142849,0.2302919643051774,1.7697080356948227,2.2302919643051773
24,0.005,9999999999,0.25,0.04745714285714286,1.9766857144833834e-11,-0.050223214285714524,0.04723392859119519,1.9527660714088049,2.0472339285911954
25,0.005,9999999999,0.25,0.05817142857142855,2.0139154287728208e-11,0.041852678571428485,0.1500241071629962,1.8499758928370038,2.150024107162996
26,0.005,9999999999,0.25,0.037457142857142856,2.0378880002037893e-11,-0.08091517857142849,0.006541964306093245,1.9934580356939067,2.006541964306093
27,0.005,9999999999,0.25,0.03317142857142855,2.0591177144916264e-11,-0.016741071428571508,0.06643035716344822,1.9335696428365519,2.066430357163448
28,0.005,9999999999,0.25,0.04960000000000008,2.090861714494801e-11,0.06417410714285754,0.16377410716376622,1.8362258928362338,2.1637741071637664
29,0.005,9999999999,0.25,0.02817142857142855,2.1088914287823183e-11,-0.08370535714285754,-0.005533928550340073,2.00553392855034,1.99446607144966
30,0.005,9999999999,0.25,0.026742857142857162,2.1260068573554587e-11,-0.005580357142856984,0.07116250002126025,1.9288374999787397,2.07116250002126
31,0.005,9999999999,0.25,0.01817142857142855,2.137636571642336e-11,-0.033482142857143016,0.03468928573566191,1.965310714264338,2.034689285735662
32,0.005,9999999999,0.25,0.012457142857142856,2.1456091430717047e-11,-0.022321428571428492,0.04013571430717046,1.9598642856928294,2.0401357143071706
33,0.005,9999999999,0.25,-0.0032571428571428387,2.143524571642925e-11,-0.06138392857142849,-0.01464107140713608,2.014641071407136,1.985358928592864
34,0.005,9999999999,0.25,0.03674285714285716,2.167040000216705e-11,0.15625,0.24299285716452756,1.7570071428354725,2.2429928571645275
35,0.005,9999999999,0.25,-0.01825714285714284,2.1553554287869654e-11,-0.21484375,-0.18310089283558928,2.183100892835589,1.8168991071644107
36,0.005,9999999999,0.25,-0.02039999999999992,2.14229942878566e-11,-0.008370535714285476,0.0212294643071376,1.9787705356928624,2.0212294643071376
37,0.005,9999999999,0.25,-0.06325714285714285,2.10181485735304e-11,-0.16741071428571452,-0.18066785712183925,2.1806678571218394,1.8193321428781608
38,0.005,9999999999,0.25,-0.02968571428571423,2.0828160002082833e-11,0.13113839285714302,0.15145267859225695,1.848547321407743,2.151452678592257
39,0.005,9999999999,0.25,-0.024685714285714228,2.0670171430638463e-11,0.01953125,0.04484553573495595,1.955154464265044,2.044845535734956
